Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL853-24_r_1_s_50_BGSNL853-24,BGSNL853-24,5822516,1172,36,1530,29.0,99.0,53.88627450980392,53.0
BGSNL828-24_r_1_s_100_BGSNL828-24,BGSNL828-24,7667500,619,5,1530,8.0,61.0,30.319607843137256,29.0
BGSNL814-24_r_1.5_s_50_BGSNL814-24,BGSNL814-24,7029909,1816,2,1533,31.0,177.0,76.17808219178082,70.0
BGSNL773-24_r_1.3_s_50_BGSNL773-24,BGSNL773-24,3108837,1632,5,1533,36.0,151.0,76.20352250489236,74.0
BGSNL825-24_r_1_s_100_BGSNL825-24,BGSNL825-24,9163662,587,169,1533,7.0,49.0,30.15068493150685,31.0
BGSNL848-24_r_1.5_s_100_BGSNL848-24,BGSNL848-24,6865881,3665,7,1533,61.0,344.0,182.90802348336595,177.0
BGSNL812-24_r_1.3_s_100_BGSNL812-24,BGSNL812-24,8781829,1688,130,1533,55.0,182.0,102.60861056751467,95.0
BGSNL849-24_r_1.5_s_100_BGSNL849-24,BGSNL849-24,5653635,767,107,1533,7.0,102.0,35.88649706457926,33.0
BGSNL845-24_r_1.5_s_100_BGSNL845-24,BGSNL845-24,7993755,3757,106,1533,51.0,335.0,186.06066536203522,180.0
BGSNL804-24_r_1_s_100_BGSNL804-24,BGSNL804-24,6900068,139,11,1530,1.0,24.0,7.103921568627451,6.0
BGSNL780-24_r_1.5_s_100_BGSNL780-24,BGSNL780-24,8271682,2120,36,1533,34.0,221.0,116.35812133072407,109.0
BGSNL770-24_r_1.5_s_50_BGSNL770-24,BGSNL770-24,7849664,5022,21,1533,97.0,362.0,210.57142857142858,207.0
BGSNL843-24_r_1_s_50_BGSNL843-24,BGSNL843-24,7114354,3740,1,1533,76.0,316.0,168.07827788649706,161.0
BGSNL821-24_r_1.3_s_100_BGSNL821-24,BGSNL821-24,8366719,923,94,1533,23.0,95.0,53.22113502935421,48.0
BGSNL843-24_r_1.3_s_100_BGSNL843-24,BGSNL843-24,7114354,2356,1,1533,36.0,212.0,124.04892367906066,118.0
BGSNL820-24_r_1.3_s_50_BGSNL820-24,BGSNL820-24,7883232,1575,3,1533,44.0,140.0,82.69275929549902,82.0
BGSNL778-24_r_1_s_50_BGSNL778-24,BGSNL778-24,7824392,8317,10,1533,215.0,619.0,405.5655577299413,394.0
BGSNL817-24_r_1_s_100_BGSNL817-24,BGSNL817-24,1214657,134,2,1533,0.0,17.0,7.136986301369863,7.0
